polar,Channel,Value
WSW,MAIL,3.296521499448728
W,MAIL,2.6539839572192494
WNW,MAIL,3.673340517241378
NW,MAIL,0.26726190476190476
NNW,MAIL,0.5659541984732824
N,PARTNER,44.345755410967925
NNE,PARTNER,32.90504980863923
NE,PARTNER,31.9784126310725
ENE,PARTNER,41.39005495799869
E,PARTNER,24.892235339527442
ESE,PARTNER,42.79754822670762
SE,PARTNER,22.936755893678967
SSE,PARTNER,32.23463473038139
S,PARTNER,50.540137113342844
SSW,PARTNER,18.625052083333333
SW,PARTNER,15.230639285714284
WSW,PARTNER,53.86874922397239
W,PARTNER,45.329754142741194
WNW,PARTNER,31.753928200723635
NW,PARTNER,9.365793650793652
NNW,PARTNER,15.219274809160309
N,REFERRAL,3.6523775216138334
NNE,REFERRAL,2.90156795747912
NE,REFERRAL,8.677517782616603
ENE,REFERRAL,10.20849961268991
E,REFERRAL,7.6652994524298395
ESE,REFERRAL,9.578976449275363
SE,REFERRAL,1.7933925049309662
SSE,REFERRAL,7.807863436123349
S,REFERRAL,4.057582987551869
SSW,REFERRAL,3.4537500000000003
SW,REFERRAL,3.5625
WSW,REFERRAL,7.73866776920249
W,REFERRAL,5.243748663101601
WNW,REFERRAL,5.314515086206893
NW,REFERRAL,5.322500000000001
NNW,REFERRAL,1.9467938931297708
N,SURVEY,0.0
NNE,SURVEY,0.0
NE,SURVEY,0.0
ENE,SURVEY,0.00849344204182914
E,SURVEY,0.0
ESE,SURVEY,0.0
SE,SURVEY,0.0
SSE,SURVEY,0.0
S,SURVEY,0.0
SSW,SURVEY,0.0
SW,SURVEY,0.0
WSW,SURVEY,0.0
W,SURVEY,0.0
WNW,SURVEY,0.0
NW,SURVEY,0.0
NNW,SURVEY,0.0
N,WEB,45.34281499117778
NNE,WEB,52.24817101252753
NE,WEB,43.291853121174995
ENE,WEB,64.93798653310559
E,WEB,50.454005592608
ESE,WEB,47.27858189334891
SE,WEB,35.89717160291736
SSE,WEB,51.82811913371033
S,WEB,47.39572835367961
SSW,WEB,58.184172172619036
SW,WEB,40.34860198863635
WSW,WEB,69.65205492899943
W,WEB,57.38303239853409
WNW,WEB,50.13521083723927
NW,WEB,33.82540320294785
NNW,WEB,40.815238549618314
